1 (0.13145347426148682, 'History')
607 (0.0004137739376338864, 'Hebrew_language')
608 (0.00041365664174951967, 'Winston_Churchill')
609 (0.0004130158830165882, 'Alcohol')
610 (0.00041274148664220407, 'Mongol_Empire')
611 (0.00041180317703690323, 'York')
612 (0.00041180317703690323, 'Wessex')
613 (0.00041180317703690323, 'Shetland')
614 (0.00041180317703690323, 'Scotland_in_the_High_Middle_Ages')
615 (0.00041180317703690323, 'Roman_Britain')
616 (0.00041180317703690323, 'Picts')
617 (0.00041180317703690323, 'Penda_of_Mercia')
618 (0.00041180317703690323, 'Orkney')
619 (0.00041180317703690323, 'Mercia')
620 (0.00041180317703690323, 'Medieval_music')
621 (0.00041180317703690323, 'Medieval_literature')
622 (0.0004116975262303855, 'Kiev')
623 (0.00041159563111912534, 'George_W._Bush')
624 (0.0004108854272591129, 'Plant')
625 (0.0004107920341804946, 'Seed')
626 (0.000410650805096289, 'Tuberculosis')
627 (0.0004099921177716444, 'Richard_Feynman')
628 (0.0004099921177716444, 'Programming_language')
629 (0.0004099921177716444, 'John_von_Neumann')
630 (0.0004099921177716444, 'Integrated_circuit')
631 (0.000409540069608001, 'Yellow_fever')
632 (0.0004095149283896164, 'Royal_Navy')
633 (0.00040949819113796874, 'Baroque')
634 (0.00040882686172777214, 'George_III_of_the_United_Kingdom')
635 (0.00040815406763687037, 'Pacific_Ocean')
636 (0.0004078485095313807, 'Westminster_System')
637 (0.000407574551239549, 'President_of_the_United_States')
638 (0.0004072553908389919, 'Flood')
639 (0.0004064722125430143, 'Prime_Minister_of_the_United_Kingdom')
640 (0.00040613058196977157, 'Automobile')
641 (0.00040609711714114543, 'North_Africa')
642 (0.0004059993899931954, 'Georgia_%28country%29')
643 (0.0004059993899931954, 'Caspian_Sea')
644 (0.0004059993899931954, 'Baghdad')
645 (0.0004059993899931954, 'Amur')
646 (0.0004059993899931954, 'Abbasid')
647 (0.0004057427438248348, 'Leon_Trotsky')
648 (0.00040548759427495965, 'Fishing')
649 (0.0004054220495529278, 'Colombia')
650 (0.00040516391379737246, 'Russian_language')
651 (0.00040467097334791793, 'Turkmenistan')
652 (0.00040467097334791793, 'Tajikistan')
653 (0.00040467097334791793, 'Indo-Greek_Kingdom')
654 (0.0004045889598366898, 'Kashmir_region')
655 (0.00040444411858015205, 'Whale')
656 (0.00040444411858015205, 'Water')
657 (0.00040444411858015205, 'Triassic')
658 (0.00040444411858015205, 'Sunlight')
659 (0.00040444411858015205, 'Star')
660 (0.00040444411858015205, 'Sputnik_1')
661 (0.00040444411858015205, 'Snowball_Earth')
662 (0.00040444411858015205, 'Reptile')
663 (0.00040444411858015205, 'Pterosaur')
664 (0.00040444411858015205, 'Protein')
665 (0.00040444411858015205, 'Photosynthesis')
666 (0.00040444411858015205, 'Permian')
667 (0.00040444411858015205, 'Paleocene')
668 (0.00040444411858015205, 'Ozone')
669 (0.00040444411858015205, 'Oxygen')
670 (0.00040444411858015205, 'Organism')
671 (0.00040444411858015205, 'Ordovician')
672 (0.00040444411858015205, 'Nitrogen')
673 (0.00040444411858015205, 'Neil_Armstrong')
674 (0.00040444411858015205, 'Mitochondrion')
675 (0.00040444411858015205, 'Mars')
676 (0.00040444411858015205, 'Leonardo_da_Vinci')
677 (0.00040444411858015205, 'Hydrogen')
678 (0.0004042190872279502, 'Portuguese_language')
679 (0.0004042190872279502, 'Lisbon')
680 (0.0004041876813414366, 'Malaria')
681 (0.0004035887082668637, 'Genealogy')
682 (0.0004035887082668637, 'Eagle_Scout_%28Boy_Scouts_of_America%29')
683 (0.0004035887082668637, 'Chemistry')
684 (0.0004035887082668637, 'Beekeeping')
685 (0.0004035887082668637, 'Aphid')
686 (0.00040315504554280925, 'Suez_Canal')
687 (0.00040296531709621075, 'Technology')
688 (0.00040256152650436513, 'Barbados')
689 (0.0004016771577719757, 'Lebanon')
690 (0.00040159947669184245, 'Wikipedia')
691 (0.00040150979778954524, 'Parthenon')
692 (0.00040150921574899146, 'Judaism')
693 (0.000401074403330058, 'Algiers')
694 (0.00040077413178854894, 'Taiwan')
695 (0.00040077413178854894, 'Mathematics')
696 (0.00040077413178854894, 'Margaret_Thatcher')
697 (0.00040077413178854894, 'Kenya')
698 (0.00040035340011498584, 'Constitution_of_May_3%2C_1791')
699 (0.00040022997151899854, 'Syria')
700 (0.00039966541763758, 'Magna_Carta')
701 (0.00039966339630026097, 'Virus')
702 (0.00039951440414333204, 'John_F._Kennedy')
703 (0.0003986219483818933, 'Maize')
704 (0.000398240064002135, 'Infrastructure')
705 (0.0003978225437581514, 'Wine')
706 (0.0003974775706466501, 'Emu')
707 (0.0003974775706466501, 'Dingo')
708 (0.0003974775706466501, 'Canberra')
709 (0.00039712201354874673, 'Guyana')
710 (0.00039712201354874673, 'Constitutional_monarchy')
711 (0.0003969423640936238, 'Warsaw')
712 (0.00039685156573230355, 'Mahatma_Gandhi')
713 (0.00039650000952892825, 'United_States_Bill_of_Rights')
714 (0.0003962883020740397, 'Sri_Lanka')
715 (0.00039619011704545345, 'Blitzkrieg')
716 (0.0003958711127245142, 'United_States_dollar')
717 (0.000395824539574388, 'Qin_Dynasty')
718 (0.000395824539574388, 'Nature')
719 (0.000395824539574388, 'Humanism')
720 (0.00039547196258291024, 'Philippines')
721 (0.00039467248078622593, 'Dwight_D._Eisenhower')
722 (0.0003945940404048201, 'Property')
723 (0.0003945840544634681, 'Tennis')
724 (0.0003945840544634681, 'Tel_Aviv')
725 (0.0003945840544634681, 'Serbia')
726 (0.0003945840544634681, 'Kosovo')
727 (0.0003945840544634681, 'Ice_hockey')
728 (0.00039417877691466673, 'Oceania')
729 (0.00039346172045608716, 'Peru')
730 (0.00039337719262637653, 'David_Livingstone')
731 (0.00039337719262637653, 'British_Isles')
732 (0.00039308864378847076, 'Space_exploration')
733 (0.0003929398226397441, 'Attack_on_Pearl_Harbor')
734 (0.0003927151085768054, 'Malaysia')
735 (0.0003923670792586623, 'S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe')
736 (0.0003923670792586623, 'Recycling')
737 (0.0003923670792586623, 'Portuguese_Communist_Party')
738 (0.0003920811997129189, 'Royal_Air_Force')
739 (0.000391750766595966, 'Radio')
740 (0.000391570741480269, 'Oliver_Cromwell')
741 (0.000391321965989325, 'Liberalism')
742 (0.0003912553214333416, 'Charles_V%2C_Holy_Roman_Emperor')
743 (0.0003909170695752551, 'Scottish_Gaelic_language')
744 (0.0003909170695752551, 'Mount_Osmond%2C_South_Australia')
745 (0.00039049341336640583, 'Bucharest')
746 (0.00039041112122731374, 'Peter_I_of_Russia')
747 (0.0003903191165854402, 'History_of_Cape_Colony_from_1806_to_1870')
748 (0.0003898875974452381, 'Odyssey')
749 (0.0003898630249500682, 'Republic_of_China')
750 (0.00038970316700738907, 'Coffee')
751 (0.0003896277514703394, 'Singapore')
752 (0.0003886228313815572, 'Battle_of_Normandy')
753 (0.00038853099397577543, 'Tobacco')
754 (0.00038811824263440135, 'Marshall_Islands')
755 (0.000388068906497099, 'Guam')
756 (0.000388068906497099, 'Dominican_Republic')
757 (0.0003876658095037905, 'Vinaya')
758 (0.0003874945636659942, 'Scramble_for_Africa')
759 (0.0003872314293935958, 'Multiculturalism')
760 (0.00038700006420214623, 'George_Washington')
761 (0.00038657213022716945, 'Grand_Canyon')
762 (0.0003864122968531116, 'Ho_Chi_Minh')
763 (0.0003864122968531116, 'Helsinki')
764 (0.0003864122968531116, 'Battle_of_Warsaw_%281920%29')
765 (0.0003864122968531116, 'Armenia')
766 (0.0003864122968531116, 'Antarctica')
767 (0.0003864122968531116, 'Abkhazia')
768 (0.0003864122968531116, 'AK-47')
769 (0.00038619154401045916, 'Space_Race')
770 (0.0003860342568714455, 'Weapon')
771 (0.00038587266072580365, 'Sudan')
772 (0.0003851383545122758, 'Tim_Berners-Lee')
773 (0.0003851383545122758, 'Rwanda')
774 (0.0003851383545122758, 'Microsoft')
775 (0.0003851383545122758, 'Internet_Explorer')
776 (0.00038511135977254313, 'Tripoli')
777 (0.00038469296115115287, 'United_States_Senate')
778 (0.0003846639769294019, 'Sierra_Leone')
779 (0.0003846639769294019, 'Morocco')
780 (0.0003842023392300809, 'Zheng_He')
781 (0.0003842023392300809, 'Transport')
782 (0.0003842023392300809, 'Stone_Age')
783 (0.0003842023392300809, 'Steel')
784 (0.0003842023392300809, 'Pollution')
785 (0.0003842023392300809, 'Petroleum')
786 (0.0003842023392300809, 'Nile')
787 (0.0003842023392300809, 'Maya_civilization')
788 (0.0003842023392300809, 'Machu_Picchu')
789 (0.0003842023392300809, 'Life')
790 (0.0003842023392300809, 'Jazz')
791 (0.0003842023392300809, 'Indus_River')
792 (0.00038381608210859476, 'Mongolia')
793 (0.00038378862237737146, 'Grenada')
794 (0.00038378862237737146, 'Football_%28soccer%29')
795 (0.00038378862237737146, 'Dominica')
796 (0.00038378862237737146, 'Cricket')
797 (0.00038378862237737146, 'Bodyline')
798 (0.00038378862237737146, 'Basketball')
799 (0.00038378862237737146, 'Antigua_and_Barbuda')
800 (0.00038378862237737146, 'Anguilla')
801 (0.00038347088159561087, 'Battle_of_Britain')
802 (0.0003833369750664105, 'Madrid')
803 (0.0003831060997609362, 'Henri_Matisse')
804 (0.0003831060997609362, 'Guqin')
805 (0.0003831060997609362, 'Garden')
806 (0.0003831060997609362, 'Expressionism')
807 (0.0003831060997609362, 'Dada')
808 (0.0003831060997609362, 'Cubism')
809 (0.0003831060997609362, 'Constructivism_%28art%29')
810 (0.0003831060997609362, 'Claude_Monet')
811 (0.0003831060997609362, 'Caravaggio')
812 (0.0003831060997609362, 'Calligraphy')
813 (0.0003831060997609362, 'Cai_Lun')
814 (0.0003831060997609362, 'Book_of_Kells')
815 (0.0003831060997609362, 'Auguste_Rodin')
816 (0.0003831060997609362, 'Andy_Warhol')
817 (0.0003831060997609362, 'Albrecht_D%C3%BCrer')
818 (0.0003831060997609362, 'Akbar')
819 (0.0003831060997609362, 'Abstract_art')
820 (0.0003831060997609362, '13th_century')
821 (0.0003827420324355321, 'Zulu')
822 (0.0003827420324355321, 'Zimbabwe')
823 (0.0003827420324355321, 'Zambia')
824 (0.0003827420324355321, 'Vegetable')
825 (0.0003827420324355321, 'Tanzania')
826 (0.0003827420324355321, 'Swaziland')
827 (0.0003827420324355321, 'Scurvy')
828 (0.0003827420324355321, 'Race')
829 (0.0003827420324355321, 'Niger_River')
830 (0.0003827420324355321, 'Meat')
831 (0.0003827420324355321, 'Louis_XIV_of_France')
832 (0.0003827420324355321, 'Lesotho')
833 (0.0003827420324355321, 'Interpol')
834 (0.00038243477035073954, 'George_H._W._Bush')
835 (0.00038243477035073954, 'Che_Guevara')
836 (0.0003823320410435798, 'Pope_John_Paul_II')
837 (0.00038217876877726824, 'Tripitaka')
838 (0.00038217876877726824, 'Sumatra')
839 (0.00038217876877726824, 'Sikkim')
840 (0.00038217876877726824, 'Pali_Canon')
841 (0.00038217876877726824, 'Nepal')
842 (0.00038217876877726824, 'Myanmar')
843 (0.00038203440048224216, 'Plutonium')
844 (0.00038102750390344684, 'Mass_media')
845 (0.0003810192431401492, 'New_York_City')
846 (0.00038065432450966834, 'Polish-Soviet_War')
847 (0.0003801745799713383, 'Third_Servile_War')
848 (0.0003801745799713383, 'Qatar')
849 (0.0003801745799713383, 'Parliament_of_the_United_Kingdom')
850 (0.0003801745799713383, 'Mauritania')
851 (0.0003801745799713383, 'Liberia')
852 (0.0003801745799713383, 'Japanese_war_crimes')
853 (0.0003801745799713383, 'Istanbul')
854 (0.0003801745799713383, 'Human_rights')
855 (0.00038017372649478656, 'Bosnia_and_Herzegovina')
856 (0.0003800103743092795, 'Earthquake')
857 (0.0003800103743092795, 'Cod')
858 (0.0003800103743092795, 'Battle_of_Sitka')
859 (0.0003788450111892154, 'Antwerp')
860 (0.0003787294324812605, 'Music')
861 (0.00037792193026196634, 'Chester_A._Arthur')
862 (0.00037792193026196634, 'Cape_Horn')
863 (0.000377719828001034, 'Ostrich')
864 (0.00037690159983379544, 'Melbourne')
865 (0.00037646810994314647, 'Vienna')
866 (0.00037608858897590224, 'Elizabeth_II_of_the_United_Kingdom')
867 (0.00037608858897590224, 'Cleveland%2C_Ohio')
868 (0.00037608858897590224, 'Citrus')
869 (0.00037608858897590224, 'Chicago')
870 (0.00037608858897590224, 'Bolivia')
871 (0.00037608858897590224, 'Bear')
872 (0.00037510258413117517, 'Latin_America')
873 (0.0003749805610619734, 'IPod')
874 (0.0003749805610619734, 'Henry_VIII_of_England')
875 (0.0003749805610619734, 'George_IV_of_the_United_Kingdom')
876 (0.0003749805610619734, 'Fossil_fuel')
877 (0.0003749805610619734, 'English_poetry')
878 (0.0003749805610619734, 'Elizabeth_I_of_England')
879 (0.0003749805610619734, 'Aesthetics')
880 (0.0003740656896506209, 'Faroe_Islands')
881 (0.0003740656896506209, 'Eskimo')
882 (0.0003740656896506209, 'Copenhagen')
883 (0.0003740656896506209, 'Arctic_Ocean')
884 (0.0003740656896506209, 'Arctic')
885 (0.0003734561361574549, 'Wernher_von_Braun')
886 (0.0003734561361574549, 'Uranium')
887 (0.0003734561361574549, 'University_of_Chicago')
888 (0.0003734561361574549, 'Tsar_Bomba')
889 (0.0003734561361574549, 'Trinity_test')
890 (0.0003734561361574549, 'Robert_Oppenheimer')
891 (0.0003734561361574549, 'Radium')
892 (0.0003734561361574549, 'Proton')
893 (0.0003734561361574549, 'Physics')
894 (0.0003734561361574549, 'Nuclear_fission')
895 (0.0003734561361574549, 'Neutron')
896 (0.0003734561361574549, 'Neptunium')
897 (0.0003734561361574549, 'Lithium')
898 (0.00037340680002015256, 'History_of_New_Jersey')
899 (0.00037340680002015256, 'History_of_Greenland')
900 (0.00037340680002015256, 'History_of_Arizona')
901 (0.00037340680002015256, 'History_of_Alaska')
902 (0.00037340680002015256, 'Caribbean_Sea')
903 (0.00037326286567607875, 'Woodrow_Wilson')
904 (0.000373068901133884, 'Tank')
905 (0.0003726613040198919, 'Panama')
906 (0.0003718595356181827, 'Manifest_Destiny')
907 (0.0003716996810486579, 'Belgium')
908 (0.0003716620039481977, 'Turtle')
909 (0.00037149090054346834, 'Summer')
910 (0.00037122735065364107, 'Theodore_Roosevelt')
911 (0.0003710806742555905, 'Timur')
912 (0.0003710806742555905, 'Tashkent')
913 (0.0003710806742555905, 'Saudi_Arabia')
914 (0.0003710806742555905, 'Qur%27an')
915 (0.0003710806742555905, 'Mosque')
916 (0.0003704080853090203, 'Textile')
917 (0.00036998987998955945, 'Industry')
918 (0.0003696136982717199, 'U.S._state')
919 (0.00036954094152567336, 'Engineering')
920 (0.00036954094152567336, 'Armia_Krajowa')
921 (0.00036954094152567336, '1973_oil_crisis')
922 (0.0003695389888225711, 'Sydney')
923 (0.00036831208680173695, 'Socialism')
924 (0.0003682271600751525, 'Henry_H._Rogers')
925 (0.0003682271600751525, 'Glacier')
926 (0.0003682271600751525, 'George_II_of_Great_Britain')
927 (0.0003682271600751525, 'Anne_of_Great_Britain')
928 (0.000367918916656664, 'Volga_River')
929 (0.000367918916656664, 'Russian_constitutional_crisis_of_1993')
930 (0.000367918916656664, 'Polish-Muscovite_War_%281605%E2%80%931618%29')
931 (0.000367918916656664, 'Manorialism')
932 (0.000367918916656664, 'Ivan_IV_of_Russia')
933 (0.0003678217653276298, 'Pope')
934 (0.00036773997311995084, 'Kuwait')
935 (0.0003677189874525661, 'Gerald_Ford')
936 (0.0003677189874525661, 'Geology_of_the_Grand_Canyon_area')
937 (0.0003677189874525661, 'Food')
938 (0.0003677189874525661, 'Eagle')
939 (0.0003677189874525661, 'Drought')
940 (0.0003677189874525661, 'Cave')
941 (0.0003677189874525661, 'Benjamin_Harrison')
942 (0.0003677189874525661, 'Arts_and_crafts')
943 (0.00036744161245954405, 'Forest')
944 (0.00036744161245954405, 'Desert')
945 (0.00036744161245954405, 'Colorado_River')
946 (0.00036744161245954405, 'Camel')
947 (0.00036744161245954405, 'Cactus')
948 (0.00036736137381193445, 'Glass')
949 (0.00036736137381193445, 'Drinking_water')
950 (0.00036736137381193445, 'Bermuda')
951 (0.00036736137381193445, 'Andrew_Johnson')
952 (0.0003671072321369533, 'Scouting')
953 (0.00036654773126271157, 'Gibraltar')
954 (0.00036654773126271157, 'Electricity')
955 (0.00036654773126271157, 'Brunei')
956 (0.00036654773126271157, 'British_East_India_Company')
957 (0.00036654773126271157, 'Arthur_Ernest_Percival')
958 (0.0003664259398728325, 'Mormon')
959 (0.0003661385584086942, 'Saint_Lucia')
960 (0.00036607685514806527, 'Spanish_language')
961 (0.0003659275183807511, 'Manchester')
962 (0.00036551162001784013, 'List_of_French_monarchs')
963 (0.00036551162001784013, 'Isaac_Brock')
964 (0.00036548922800084453, 'Washington%2C_D.C.')
965 (0.0003652563956373077, 'North_Sea')
966 (0.000365077555076371, 'Thomas_Edison')
967 (0.0003650495918645075, 'Wikimedia_Foundation')
968 (0.0003650495918645075, 'Ward_Cunningham')
969 (0.0003650495918645075, 'Tiananmen_Square_protests_of_1989')
970 (0.0003650495918645075, 'TeX')
971 (0.0003650495918645075, 'Richard_Stallman')
972 (0.0003650495918645075, 'Murray_River')
973 (0.0003650495918645075, 'Munich')
974 (0.0003650495918645075, 'Lake_Burley_Griffin')
975 (0.0003650495918645075, 'Kangaroo')
976 (0.0003650495918645075, 'Jordanhill_railway_station')
977 (0.0003650495918645075, 'Jimmy_Wales')
978 (0.0003650495918645075, 'Iranian_peoples')
979 (0.0003649298746122924, 'Malta')
980 (0.00036488483667217723, 'Edward_III_of_England')
981 (0.00036488483667217723, 'Cleopatra_VII')
982 (0.00036488483667217723, 'Chocolate')
983 (0.00036488483667217723, 'Basel')
984 (0.0003647860419746802, 'William_Tecumseh_Sherman')
985 (0.0003647860419746802, 'Ulysses_S._Grant')
986 (0.0003642891595899079, 'Los_Angeles%2C_California')
987 (0.00036408718632702095, 'September_11%2C_2001_attacks')
988 (0.0003639996503377636, 'Minimum_wage')
989 (0.0003639160829222916, 'Rail_transport')
990 (0.0003636689810075601, 'History_of_Cape_Colony_from_1870_to_1899')
991 (0.00036350289446516126, 'Peter_Paul_Rubens')
992 (0.00036340192279388564, 'Panama_Canal')
993 (0.00036325057616188726, 'Medal_of_Honor')
994 (0.00036325057616188726, 'Manila')
995 (0.0003628556868353463, 'Luxembourg')
996 (0.00036269800298171226, 'Pedagogy')
997 (0.0003626393166784147, 'Victoria_of_the_United_Kingdom')
998 (0.0003626393166784147, 'Publishing')
999 (0.00036210351381093294, 'Norway')
1000 (0.00036192186085631605, 'Glorious_Revolution')
1001 (0.00036192186085631605, 'George_V_of_the_United_Kingdom')
1002 (0.00036192186085631605, 'Freetown')
1003 (0.00036192186085631605, 'Fiji')
1004 (0.00036192186085631605, 'East_Timor')
1005 (0.00036192186085631605, 'Cologne')
1006 (0.00036192186085631605, 'Cocos_%28Keeling%29_Islands')
1007 (0.00036192186085631605, 'Battle_of_Leyte_Gulf')
1008 (0.00036192186085631605, 'Battle_of_Jutland')
1009 (0.00036192186085631605, 'Auckland')
1010 (0.00036192186085631605, 'Anne_Frank')
1011 (0.00036192186085631605, 'American_Samoa')
1012 (0.0003618816634905828, 'Venezuela')
1013 (0.00036164219044759185, 'United_States_Congress')
1014 (0.00036132387753794507, 'Yemen')
1015 (0.00036132387753794507, 'Trench_warfare')
1016 (0.0003612572842672828, 'Pottery')
1017 (0.0003612572842672828, 'Mammoth')
1018 (0.0003612572842672828, 'James_Buchanan')
1019 (0.00036076699867924406, 'Western_Front_%28World_War_I%29')
1020 (0.0003604404776542288, 'Uruguay')
1021 (0.0003604404776542288, 'Trinidad_and_Tobago')
1022 (0.0003604404776542288, 'Saint_Vincent_and_the_Grenadines')
1023 (0.0003604404776542288, 'Saint_Kitts_and_Nevis')
1024 (0.0003604404776542288, 'S%C3%A3o_Paulo')
1025 (0.0003604404776542288, 'Rio_de_Janeiro')
1026 (0.0003604404776542288, 'Montserrat')
1027 (0.0003604404776542288, 'Jamaica')
1028 (0.0003604404776542288, 'Indian_cricket_team')
1029 (0.0003604404776542288, 'Hurricane_Ivan')
1030 (0.00036039640939346246, 'Tea')
1031 (0.000360210670029248, 'Western_painting')
1032 (0.000360210670029248, 'Vincent_van_Gogh')
1033 (0.000360210670029248, 'Thomas_Gainsborough')
1034 (0.000360210670029248, 'Stained_glass')
1035 (0.000360210670029248, 'Sphere')
1036 (0.000360210670029248, 'Salvador_Dal%C3%AD')
1037 (0.000360210670029248, 'Romanticism')
1038 (0.000360210670029248, 'Rococo')
1039 (0.000360210670029248, 'Raphael')
1040 (0.000360210670029248, 'Rabindranath_Tagore')
1041 (0.000360210670029248, 'Printmaking')
1042 (0.000360210670029248, 'Poetry')
1043 (0.000360210670029248, 'Paul_C%C3%A9zanne')
1044 (0.000360210670029248, 'Painting')
1045 (0.000360210670029248, 'Pablo_Picasso')
1046 (0.000360210670029248, 'Mosaic')
1047 (0.000360210670029248, 'Michelangelo')
1048 (0.000360210670029248, 'Landscape')
1049 (0.000360210670029248, 'John_Constable')
1050 (0.000360210670029248, 'Jacques-Louis_David')
1051 (0.000360210670029248, 'J._M._W._Turner')
1052 (0.000360210670029248, 'Impressionism')
1053 (0.000360210670029248, 'Idolatry')
1054 (0.00035998463119387157, 'William_III_of_England')
1055 (0.00035998463119387157, 'Wales')
1056 (0.00035998463119387157, 'Republic_of_Ireland')
1057 (0.00035998463119387157, 'Poor_Law')
1058 (0.00035998463119387157, 'Limerick')
1059 (0.00035998463119387157, 'Irish_people')
1060 (0.0003596902787266947, 'James_II_of_England')
1061 (0.00035922333024061105, 'Somalia')
1062 (0.00035916832901884514, 'Vitus_Bering')
1063 (0.00035916832901884514, 'Time_zone')
1064 (0.00035916832901884514, 'Minnesota')
1065 (0.00035916832901884514, 'Malaspina_Glacier')
1066 (0.00035916832901884514, 'James_Cook')
1067 (0.00035846514299268077, 'Zachary_Taylor')
1068 (0.00035846514299268077, 'Thomas_Jefferson')
1069 (0.00035846514299268077, 'Pound_sterling')
1070 (0.00035846514299268077, 'Nicaragua')
1071 (0.00035846514299268077, 'Louisville%2C_Kentucky')
1072 (0.00035846514299268077, 'Jimmy_Carter')
1073 (0.00035836628987728265, 'Martinique')
1074 (0.00035836628987728265, 'La_Grande_Arm%C3%A9e')
1075 (0.00035836628987728265, 'John_of_England')
1076 (0.00035836628987728265, 'Joan_of_Arc')
1077 (0.00035836628987728265, 'Hundred_Years%27_War')
1078 (0.00035836628987728265, 'Henry_V_of_England')
1079 (0.00035836628987728265, 'German_language')
1080 (0.00035836628987728265, 'French_language')
1081 (0.00035836628987728265, 'France_in_the_American_Revolutionary_War')
1082 (0.00035836628987728265, 'Djibouti')
1083 (0.00035836628987728265, 'Chad')
1084 (0.00035836628987728265, 'Cameroon')
1085 (0.00035836628987728265, 'Battle_of_Tours')
1086 (0.00035836628987728265, 'Battle_of_Hastings')
1087 (0.00035836628987728265, 'Battle_of_France')
1088 (0.00035836628987728265, 'Battle_of_Alesia')
1089 (0.00035836628987728265, 'Algeria')
1090 (0.0003580146464442093, 'Spanish_Armada')
1091 (0.0003580146464442093, 'Persian_Gulf')
1092 (0.00035784785091094707, 'Wall_Street')
1093 (0.00035784785091094707, 'Miami%2C_Florida')
1094 (0.00035784785091094707, 'Hurricane_Andrew')
1095 (0.0003575787748753195, 'War_of_the_Spanish_Succession')
1096 (0.0003574747742433307, 'William_Shakespeare')
1097 (0.0003574747742433307, 'Thomas_More')
1098 (0.0003574747742433307, 'Steam_engine')
1099 (0.0003574747742433307, 'Ship')
1100 (0.0003571667340097281, 'Walrus')
1101 (0.0003571667340097281, 'Norse_mythology')
1102 (0.0003571667340097281, 'Leif_Ericson')
1103 (0.0003571667340097281, 'Ivory')
1104 (0.0003571667340097281, 'Iceland')
1105 (0.0003571667340097281, 'Ice')
1106 (0.0003569448836893779, 'William_McKinley')
1107 (0.0003569448836893779, 'Tsunami')
1108 (0.0003569448836893779, 'Spanish_Inquisition')
1109 (0.0003569448836893779, 'Mestizo')
1110 (0.0003569448836893779, 'History_of_South_Carolina')
1111 (0.00035564323633332655, 'Zionism')
1112 (0.00035564323633332655, 'Yom_Kippur_War')
1113 (0.00035564323633332655, 'Witold_Pilecki')
1114 (0.00035564323633332655, 'J%C3%B3zef_Pi%C5%82sudski')
1115 (0.00035520088176863105, 'Turkey_%28bird%29')
1116 (0.00035520088176863105, 'Telephone')
1117 (0.00035520088176863105, 'Religious_Society_of_Friends')
1118 (0.00035520088176863105, 'Princeton_University')
1119 (0.00035520088176863105, 'Newark%2C_New_Jersey')
1120 (0.00035520088176863105, 'John_Cabot')
1121 (0.00035520088176863105, 'Jersey')
1122 (0.0003550297783639017, 'Zinc')
1123 (0.0003550297783639017, 'Yellowstone_National_Park')
1124 (0.0003550297783639017, 'World_Heritage_Site')
1125 (0.0003550297783639017, 'Winter')
1126 (0.0003550297783639017, 'Wind')
1127 (0.0003550297783639017, 'Weather')
1128 (0.0003550297783639017, 'Photography')
1129 (0.0003550297783639017, 'Oregon')
1130 (0.0003550297783639017, 'Mineral')
1131 (0.0003550297783639017, 'Lead')
1132 (0.0003550297783639017, 'Las_Vegas%2C_Nevada')
1133 (0.0003550297783639017, 'Lake_Mead')
1134 (0.0003550297783639017, 'Hunger')
1135 (0.0003550297783639017, 'Hoover_Dam')
1136 (0.0003549363852852834, 'Vegetation')
1137 (0.0003549363852852834, 'Train')
1138 (0.0003549363852852834, 'Supreme_Court_of_the_United_States')
1139 (0.0003549363852852834, 'Silver')
1140 (0.0003549363852852834, 'Phoenix_Zoo')
1141 (0.0003549363852852834, 'Mexico_City')
1142 (0.0003549363852852834, 'Martin_Luther_King%2C_Jr.')
1143 (0.0003549363852852834, 'Lyndon_B._Johnson')
1144 (0.0003549363852852834, 'List_of_U.S._states_by_date_of_statehood')
1145 (0.0003549363852852834, 'John_F._Kennedy_assassination')
1146 (0.0003549093686669402, 'Thunderstorm')
1147 (0.0003549093686669402, 'Rutherford_B._Hayes')
1148 (0.0003549093686669402, 'Rice')
1149 (0.0003549093686669402, 'Police')
1150 (0.0003549093686669402, 'Newspaper')
1151 (0.0003549093686669402, 'Ku_Klux_Klan')
1152 (0.0003549093686669402, 'Hurricane_Floyd')
1153 (0.0003546354125264143, 'United_Malays_National_Organisation')
1154 (0.0003546354125264143, 'Tin')
1155 (0.0003546354125264143, 'Royal_Dutch_Shell')
1156 (0.0003546354125264143, 'Parliamentary_system')
1157 (0.0003546354125264143, 'Muhammad')
1158 (0.0003546354125264143, 'Mass_Rapid_Transit_%28Singapore%29')
1159 (0.0003546354125264143, 'Lion')
1160 (0.0003546354125264143, 'Landform')
1161 (0.0003546354125264143, 'Kuala_Lumpur')
1162 (0.0003542865504394062, 'Victoria_Cross')
1163 (0.0003542865504394062, 'Toronto')
1164 (0.0003542865504394062, 'Saint-Pierre_and_Miquelon')
1165 (0.0003542865504394062, 'Montreal')
1166 (0.0003542865504394062, 'Military_history_of_Puerto_Rico')
1167 (0.00035407551041146307, 'Vanilla')
1168 (0.00035407551041146307, 'Thomas_Becket')
1169 (0.00035407551041146307, 'Santorini')
1170 (0.00035407551041146307, 'Saffron')
1171 (0.00035407551041146307, 'Potato')
1172 (0.00035407551041146307, 'Norfolk')
1173 (0.00035352524948614565, 'United_States_House_of_Representatives')
1174 (0.00035352524948614565, 'Sim%C3%B3n_Bol%C3%ADvar')
1175 (0.00035352524948614565, 'Pedro_del_Valle')
1176 (0.00035352524948614565, 'Mogadishu')
1177 (0.00035307786664300447, 'Women%27s_rights')
1178 (0.00035307786664300447, 'Wellington')
1179 (0.00035307786664300447, 'Utrecht_%28city%29')
1180 (0.00035307786664300447, 'Tonga')
1181 (0.00035307786664300447, 'Svalbard')
