1 (0.07087327439705558, 'History_of_the_world')
716 (0.0, 'La_Grande_Arm%C3%A9e')
717 (0.0, 'Kuwait')
718 (0.0, 'Kuala_Lumpur')
719 (0.0, 'Ku_Klux_Klan')
720 (0.0, 'Kosovo')
721 (0.0, 'Korea')
722 (0.0, 'Kiev')
723 (0.0, 'Kenya')
724 (0.0, 'Kazakhstan')
725 (0.0, 'Kashmir_region')
726 (0.0, 'Karl_Popper')
727 (0.0, 'Kangaroo')
728 (0.0, 'Julius_Caesar')
729 (0.0, 'Judaism')
730 (0.0, 'Joseph_Stalin')
731 (0.0, 'Jordanhill_railway_station')
732 (0.0, 'John_von_Neumann')
733 (0.0, 'John_of_England')
734 (0.0, 'John_Milton')
735 (0.0, 'John_Maynard_Keynes')
736 (0.0, 'John_F._Kennedy_assassination')
737 (0.0, 'John_F._Kennedy')
738 (0.0, 'John_Constable')
739 (0.0, 'John_Calvin')
740 (0.0, 'John_Cabot')
741 (0.0, 'Johannes_Kepler')
742 (0.0, 'Joan_of_Arc')
743 (0.0, 'Jimmy_Wales')
744 (0.0, 'Jimmy_Carter')
745 (0.0, 'Jew')
746 (0.0, 'Jerusalem')
747 (0.0, 'Jersey')
748 (0.0, 'Jazz')
749 (0.0, 'Japanese_war_crimes')
750 (0.0, 'Japan')
751 (0.0, 'James_II_of_England')
752 (0.0, 'James_Cook')
753 (0.0, 'James_Clerk_Maxwell')
754 (0.0, 'James_Buchanan')
755 (0.0, 'Jamaica')
756 (0.0, 'Jacques-Louis_David')
757 (0.0, 'J._M._W._Turner')
758 (0.0, 'J%C3%B3zef_Pi%C5%82sudski')
759 (0.0, 'Ivory')
760 (0.0, 'Ivan_IV_of_Russia')
761 (0.0, 'Italy')
762 (0.0, 'Italian_Renaissance')
763 (0.0, 'Istanbul')
764 (0.0, 'Israel')
765 (0.0, 'Islam')
766 (0.0, 'Isaac_Newton')
767 (0.0, 'Isaac_Brock')
768 (0.0, 'Irrigation')
769 (0.0, 'Iron%28III%29_chloride')
770 (0.0, 'Iron')
771 (0.0, 'Irish_people')
772 (0.0, 'Ireland')
773 (0.0, 'Iraq')
774 (0.0, 'Iranian_peoples')
775 (0.0, 'Iran')
776 (0.0, 'Invasion')
777 (0.0, 'Interpol')
778 (0.0, 'Internet_Explorer')
779 (0.0, 'Internet')
780 (0.0, 'International_Space_Station')
781 (0.0, 'Infrastructure')
782 (0.0, 'Industry')
783 (0.0, 'Industrial_Revolution')
784 (0.0, 'Indus_Valley_Civilization')
785 (0.0, 'Indus_River')
786 (0.0, 'Indonesia')
787 (0.0, 'Indo-Greek_Kingdom')
788 (0.0, 'Indian_cricket_team')
789 (0.0, 'Indian_Ocean')
790 (0.0, 'India')
791 (0.0, 'Inca_Empire')
792 (0.0, 'Impressionism')
793 (0.0, 'Imperial_Japanese_Navy')
794 (0.0, 'Idolatry')
795 (0.0, 'Iceland')
796 (0.0, 'Ice_hockey')
797 (0.0, 'Ice_age')
798 (0.0, 'Ice')
799 (0.0, 'IPod')
800 (0.0, 'Hydrology')
801 (0.0, 'Hydrogen')
802 (0.0, 'Hydrochloric_acid')
803 (0.0, 'Hurricane_Katrina')
804 (0.0, 'Hurricane_Ivan')
805 (0.0, 'Hurricane_Floyd')
806 (0.0, 'Hurricane_Camille')
807 (0.0, 'Hurricane_Andrew')
808 (0.0, 'Hunger')
809 (0.0, 'Hungary')
810 (0.0, 'Hundred_Years%27_War')
811 (0.0, 'Human_rights')
812 (0.0, 'Human')
813 (0.0, 'Horse')
814 (0.0, 'Hoover_Dam')
815 (0.0, 'Hong_Kong')
816 (0.0, 'Homer')
817 (0.0, 'Holy_Roman_Empire')
818 (0.0, 'Ho_Chi_Minh_City')
819 (0.0, 'Ho_Chi_Minh')
820 (0.0, 'Hippocrates')
821 (0.0, 'Hinduism')
822 (0.0, 'Herodotus')
823 (0.0, 'Heracles')
824 (0.0, 'Henry_V_of_England')
825 (0.0, 'Henry_VIII_of_England')
826 (0.0, 'Henry_H._Rogers')
827 (0.0, 'Henri_Matisse')
828 (0.0, 'Helsinki')
829 (0.0, 'Helium')
830 (0.0, 'Heliocentrism')
831 (0.0, 'Hebrew_language')
832 (0.0, 'Harvest')
833 (0.0, 'Harry_S._Truman')
834 (0.0, 'Halloween')
835 (0.0, 'HIV')
836 (0.0, 'Guyana')
837 (0.0, 'Guqin')
838 (0.0, 'Gunpowder')
839 (0.0, 'Gulf_of_Mexico')
840 (0.0, 'Guinea-Bissau')
841 (0.0, 'Guinea')
842 (0.0, 'Guam')
843 (0.0, 'Guadeloupe')
844 (0.0, 'Grenada')
845 (0.0, 'Gregor_Mendel')
846 (0.0, 'Greenland')
847 (0.0, 'Greenhouse_effect')
848 (0.0, 'Greece')
849 (0.0, 'Greco-Buddhism')
850 (0.0, 'Great_Wall_of_China')
851 (0.0, 'Great_Pyramid_of_Giza')
852 (0.0, 'Great_Lakes')
853 (0.0, 'Great_Britain')
854 (0.0, 'Gravitation')
855 (0.0, 'Grand_Canyon')
856 (0.0, 'Government')
857 (0.0, 'Google')
858 (0.0, 'Gold')
859 (0.0, 'God')
860 (0.0, 'Glorious_Revolution')
861 (0.0, 'Globalization')
862 (0.0, 'Global_warming')
863 (0.0, 'Glass')
864 (0.0, 'Glacier')
865 (0.0, 'Gibraltar')
866 (0.0, 'Ghana')
867 (0.0, 'Germany')
868 (0.0, 'German_language')
869 (0.0, 'Gerald_Ford')
870 (0.0, 'Georgia_%28country%29')
871 (0.0, 'George_Washington')
872 (0.0, 'George_W._Bush')
873 (0.0, 'George_V_of_the_United_Kingdom')
874 (0.0, 'George_IV_of_the_United_Kingdom')
875 (0.0, 'George_II_of_Great_Britain')
876 (0.0, 'George_III_of_the_United_Kingdom')
877 (0.0, 'George_H._W._Bush')
878 (0.0, 'Geometry')
879 (0.0, 'Geology_of_the_Grand_Canyon_area')
880 (0.0, 'Geology')
881 (0.0, 'Geography')
882 (0.0, 'Genetics')
883 (0.0, 'Genetic_code')
884 (0.0, 'Genealogy')
885 (0.0, 'Gautama_Buddha')
886 (0.0, 'Garden')
887 (0.0, 'Ganges_River')
888 (0.0, 'Game_theory')
889 (0.0, 'Galileo_Galilei')
890 (0.0, 'Fruit')
891 (0.0, 'French_language')
892 (0.0, 'French_Revolution')
893 (0.0, 'Freetown')
894 (0.0, 'Frederick_Douglass')
895 (0.0, 'Franks')
896 (0.0, 'Franklin_D._Roosevelt')
897 (0.0, 'Francis_Drake')
898 (0.0, 'Francis_Crick')
899 (0.0, 'Francis_Bacon')
900 (0.0, 'France_in_the_American_Revolutionary_War')
901 (0.0, 'France')
902 (0.0, 'Fossil_fuel')
903 (0.0, 'Forest')
904 (0.0, 'Football_%28soccer%29')
905 (0.0, 'Food')
906 (0.0, 'Flower')
907 (0.0, 'Florida')
908 (0.0, 'Flood')
909 (0.0, 'Fishing')
910 (0.0, 'Fish')
911 (0.0, 'First_Macedonian_War')
912 (0.0, 'Firearm')
913 (0.0, 'Fire')
914 (0.0, 'Finland')
915 (0.0, 'Finance')
916 (0.0, 'Film')
917 (0.0, 'Fiji')
918 (0.0, 'Fidel_Castro')
919 (0.0, 'Fertile_Crescent')
920 (0.0, 'Fascism')
921 (0.0, 'Faroe_Islands')
922 (0.0, 'Famine')
923 (0.0, 'Eye_%28cyclone%29')
924 (0.0, 'Expressionism')
925 (0.0, 'Evolution')
926 (0.0, 'European_Union')
927 (0.0, 'Europe')
928 (0.0, 'Euro')
929 (0.0, 'Euclid')
930 (0.0, 'Ethiopia')
931 (0.0, 'Ethics')
932 (0.0, 'Ethanol')
933 (0.0, 'Eskimo')
934 (0.0, 'Ernest_Rutherford')
935 (0.0, 'Epaminondas')
936 (0.0, 'Eocene')
937 (0.0, 'English_poetry')
938 (0.0, 'English_language')
939 (0.0, 'English_Channel')
940 (0.0, 'England')
941 (0.0, 'Engineering')
942 (0.0, 'Energy')
943 (0.0, 'Emu')
944 (0.0, 'Employment')
945 (0.0, 'Empiricism')
946 (0.0, 'Elizabeth_I_of_England')
947 (0.0, 'Elizabeth_II_of_the_United_Kingdom')
948 (0.0, 'Eliminative_materialism')
949 (0.0, 'Electronics')
950 (0.0, 'Electron')
951 (0.0, 'Electricity')
952 (0.0, 'Electrical_engineering')
953 (0.0, 'Election')
954 (0.0, 'Eilmer_of_Malmesbury')
955 (0.0, 'Egyptian_pyramids')
956 (0.0, 'Egypt')
957 (0.0, 'Effects_of_nuclear_explosions')
958 (0.0, 'Effect_of_Hurricane_Katrina_on_New_Orleans')
959 (0.0, 'Edwin_of_Northumbria')
960 (0.0, 'Edward_the_Confessor')
961 (0.0, 'Edward_Teller')
962 (0.0, 'Edward_III_of_England')
963 (0.0, 'Edmond_Halley')
964 (0.0, 'Edinburgh')
965 (0.0, 'Edgar_Allan_Poe')
966 (0.0, 'Ecology')
967 (0.0, 'East_Timor')
968 (0.0, 'East_Africa')
969 (0.0, 'Earthquake')
970 (0.0, 'Earth%27s_atmosphere')
971 (0.0, 'Earth')
972 (0.0, 'Eagle_Scout_%28Boy_Scouts_of_America%29')
973 (0.0, 'Eagle')
974 (0.0, 'Dwight_D._Eisenhower')
975 (0.0, 'Dublin')
976 (0.0, 'Drought')
977 (0.0, 'Drinking_water')
978 (0.0, 'Dominican_Republic')
979 (0.0, 'Dominica')
980 (0.0, 'Domesday_Book')
981 (0.0, 'Dolphin')
982 (0.0, 'Dmitri_Mendeleev')
983 (0.0, 'Djibouti')
984 (0.0, 'Dinosaur')
985 (0.0, 'Dingo')
986 (0.0, 'Diamond')
987 (0.0, 'Desmond_Tutu')
988 (0.0, 'Desert')
989 (0.0, 'Denmark')
990 (0.0, 'Demosthenes')
991 (0.0, 'Democracy')
992 (0.0, 'David_Livingstone')
993 (0.0, 'Dark_Ages')
994 (0.0, 'Dada')
995 (0.0, 'DNA')
996 (0.0, 'Cyrus_the_Great')
997 (0.0, 'Cyprus')
998 (0.0, 'Currency')
999 (0.0, 'Culture')
1000 (0.0, 'Cubism')
1001 (0.0, 'Cuba')
1002 (0.0, 'Crystal')
1003 (0.0, 'Crusades')
1004 (0.0, 'Crimean_War')
1005 (0.0, 'Crime')
1006 (0.0, 'Cricket')
1007 (0.0, 'Cretaceous-Tertiary_extinction_event')
1008 (0.0, 'Cretaceous')
1009 (0.0, 'Cotton')
1010 (0.0, 'Corinthian_War')
1011 (0.0, 'Copper')
1012 (0.0, 'Copenhagen')
1013 (0.0, 'Cooperative')
1014 (0.0, 'Continent')
1015 (0.0, 'Constructivism_%28art%29')
1016 (0.0, 'Constitutional_monarchy')
1017 (0.0, 'Confucius')
1018 (0.0, 'Confucianism')
1019 (0.0, 'Conflict')
1020 (0.0, 'Computer_science')
1021 (0.0, 'Computer_programming')
1022 (0.0, 'Computer')
1023 (0.0, 'Communism')
1024 (0.0, 'Communication')
1025 (0.0, 'Comet')
1026 (0.0, 'Columbia_River')
1027 (0.0, 'Colorado_River')
1028 (0.0, 'Colombia')
1029 (0.0, 'Cologne')
1030 (0.0, 'Cold_War')
1031 (0.0, 'Coin')
1032 (0.0, 'Coffee')
1033 (0.0, 'Cod')
1034 (0.0, 'Cocos_%28Keeling%29_Islands')
1035 (0.0, 'Coal')
1036 (0.0, 'Climate_change')
1037 (0.0, 'Cleveland%2C_Ohio')
1038 (0.0, 'Cleopatra_VII')
1039 (0.0, 'Clay')
1040 (0.0, 'Claude_Monet')
1041 (0.0, 'Civilization')
1042 (0.0, 'Civil_rights')
1043 (0.0, 'Citrus')
1044 (0.0, 'Citizenship')
1045 (0.0, 'Church_of_England')
1046 (0.0, 'Christopher_Columbus')
1047 (0.0, 'Christianity')
1048 (0.0, 'Cholera')
1049 (0.0, 'Chola_dynasty')
1050 (0.0, 'Chocolate')
1051 (0.0, 'Chlorine')
1052 (0.0, 'Chinese_language')
1053 (0.0, 'China')
1054 (0.0, 'Chimpanzee')
1055 (0.0, 'Chicago')
1056 (0.0, 'Chester_A._Arthur')
1057 (0.0, 'Chemistry')
1058 (0.0, 'Chemical_element')
1059 (0.0, 'Che_Guevara')
1060 (0.0, 'Charles_V%2C_Holy_Roman_Emperor')
1061 (0.0, 'Charles_I_of_England')
1062 (0.0, 'Charles_II_of_England')
1063 (0.0, 'Charles_Darwin')
1064 (0.0, 'Charles_Babbage')
1065 (0.0, 'Charlemagne')
1066 (0.0, 'Chad')
1067 (0.0, 'Central_processing_unit')
1068 (0.0, 'Central_African_Republic')
1069 (0.0, 'Cave')
1070 (0.0, 'Cattle')
1071 (0.0, 'Catherine_II_of_Russia')
1072 (0.0, 'Caspian_Sea')
1073 (0.0, 'Caribbean_Sea')
1074 (0.0, 'Carbon_dioxide')
1075 (0.0, 'Caravaggio')
1076 (0.0, 'Capitalism')
1077 (0.0, 'Capital')
1078 (0.0, 'Cape_Verde')
1079 (0.0, 'Cape_Town')
1080 (0.0, 'Cape_Horn')
1081 (0.0, 'Cancer')
1082 (0.0, 'Canberra')
1083 (0.0, 'Canal')
1084 (0.0, 'Canadian_Pacific_Railway')
1085 (0.0, 'Canadian_House_of_Commons')
1086 (0.0, 'Canada')
1087 (0.0, 'Cameroon')
1088 (0.0, 'Camel')
1089 (0.0, 'Cambrian_explosion')
1090 (0.0, 'Cambodia')
1091 (0.0, 'Calligraphy')
1092 (0.0, 'California')
1093 (0.0, 'Calculus')
1094 (0.0, 'Cai_Lun')
1095 (0.0, 'Cactus')
1096 (0.0, 'C%C3%B4te_d%27Ivoire')
1097 (0.0, 'Bulgaria')
1098 (0.0, 'Buddhist_art')
1099 (0.0, 'Buddhism')
1100 (0.0, 'Buddha')
1101 (0.0, 'Bucharest')
1102 (0.0, 'Brussels')
1103 (0.0, 'Brunei')
1104 (0.0, 'Bronze_Age')
1105 (0.0, 'British_monarchy')
1106 (0.0, 'British_Isles')
1107 (0.0, 'British_Empire')
1108 (0.0, 'British_East_India_Company')
1109 (0.0, 'Brazil')
1110 (0.0, 'Brain')
1111 (0.0, 'Botswana')
1112 (0.0, 'Bosnia_and_Herzegovina')
1113 (0.0, 'Boolean_logic')
1114 (0.0, 'Book_of_Kells')
1115 (0.0, 'Bonobo')
1116 (0.0, 'Bolivia')
1117 (0.0, 'Bodyline')
1118 (0.0, 'Blitzkrieg')
1119 (0.0, 'Blaise_Pascal')
1120 (0.0, 'Black_Sea')
1121 (0.0, 'Black_Death')
1122 (0.0, 'Bird')
1123 (0.0, 'Biosphere')
1124 (0.0, 'Biodiversity')
1125 (0.0, 'Binary_star')
1126 (0.0, 'Bill_Clinton')
1127 (0.0, 'Big_Bang')
1128 (0.0, 'Bhutan')
1129 (0.0, 'Bermuda')
1130 (0.0, 'Berlin')
1131 (0.0, 'Benjamin_Harrison')
1132 (0.0, 'Benito_Mussolini')
1133 (0.0, 'Benin')
1134 (0.0, 'Belgium')
1135 (0.0, 'Belarus')
1136 (0.0, 'Beijing')
1137 (0.0, 'Beekeeping')
1138 (0.0, 'Bede')
1139 (0.0, 'Bear')
1140 (0.0, 'Beach')
1141 (0.0, 'Battle_of_Warsaw_%281920%29')
1142 (0.0, 'Battle_of_Tours')
1143 (0.0, 'Battle_of_Stalingrad')
1144 (0.0, 'Battle_of_Sitka')
1145 (0.0, 'Battle_of_Normandy')
1146 (0.0, 'Battle_of_Marathon')
1147 (0.0, 'Battle_of_Leyte_Gulf')
1148 (0.0, 'Battle_of_Jutland')
1149 (0.0, 'Battle_of_Hastings')
1150 (0.0, 'Battle_of_France')
1151 (0.0, 'Battle_of_Britain')
1152 (0.0, 'Battle_of_Alesia')
1153 (0.0, 'Basketball')
1154 (0.0, 'Basel')
1155 (0.0, 'Baroque')
1156 (0.0, 'Barley')
1157 (0.0, 'Barbados')
1158 (0.0, 'Bantu')
1159 (0.0, 'Bangladesh')
1160 (0.0, 'Baghdad')
1161 (0.0, 'Bacteria')
1162 (0.0, 'Babylonia')
1163 (0.0, 'Aztec')
1164 (0.0, 'Azerbaijan')
1165 (0.0, 'Automobile')
1166 (0.0, 'Austria')
1167 (0.0, 'Australia')
1168 (0.0, 'Augustus')
1169 (0.0, 'Augustine_of_Hippo')
1170 (0.0, 'Auguste_Rodin')
1171 (0.0, 'Auckland')
1172 (0.0, 'Attack_on_Pearl_Harbor')
1173 (0.0, 'Atom')
1174 (0.0, 'Atlantic_slave_trade')
1175 (0.0, 'Atlantic_Ocean')
1176 (0.0, 'Athletics_%28track_and_field%29')
1177 (0.0, 'Athens')
1178 (0.0, 'Athena')
1179 (0.0, 'Atheism')
1180 (0.0, 'Astronomy')
1181 (0.0, 'Asteroid')
1182 (0.0, 'Assyria')
1183 (0.0, 'Asia')
1184 (0.0, 'Arts_and_crafts')
1185 (0.0, 'Arthur_Ernest_Percival')
1186 (0.0, 'Arthropod')
1187 (0.0, 'Art')
1188 (0.0, 'Armia_Krajowa')
1189 (0.0, 'Armenia')
1190 (0.0, 'Aristotle')
1191 (0.0, 'Argentina')
1192 (0.0, 'Arctic_Ocean')
1193 (0.0, 'Arctic')
1194 (0.0, 'Archbishop_of_Canterbury')
1195 (0.0, 'Archaeopteryx')
1196 (0.0, 'Aral_Sea')
1197 (0.0, 'Arabic_language')
1198 (0.0, 'Apollo_8')
1199 (0.0, 'Aphid')
1200 (0.0, 'Ape')
1201 (0.0, 'Antwerp')
1202 (0.0, 'Antoine_Lavoisier')
1203 (0.0, 'Antigua_and_Barbuda')
1204 (0.0, 'Antarctica')
1205 (0.0, 'Anno_Domini')
1206 (0.0, 'Anne_of_Great_Britain')
1207 (0.0, 'Anne_Frank')
1208 (0.0, 'Animal')
1209 (0.0, 'Anguilla')
1210 (0.0, 'Angola')
1211 (0.0, 'Anglo-Saxon_literature')
1212 (0.0, 'Angkor')
1213 (0.0, 'Andy_Warhol')
1214 (0.0, 'Andrew_Johnson')
1215 (0.0, 'Andes')
1216 (0.0, 'Ancient_Egypt')
1217 (0.0, 'Anarchism')
1218 (0.0, 'Amur')
1219 (0.0, 'Amsterdam')
1220 (0.0, 'Ammonia')
1221 (0.0, 'American_Samoa')
1222 (0.0, 'American_Revolutionary_War')
1223 (0.0, 'American_Civil_War')
1224 (0.0, 'Aluminium_chloride')
1225 (0.0, 'Algorithm')
1226 (0.0, 'Algiers')
1227 (0.0, 'Algeria')
1228 (0.0, 'Algebra')
1229 (0.0, 'Alfred_the_Great')
1230 (0.0, 'Alexander_the_Great')
1231 (0.0, 'Alcohol')
1232 (0.0, 'Alchemy')
1233 (0.0, 'Albrecht_D%C3%BCrer')
1234 (0.0, 'Albert_Einstein')
1235 (0.0, 'Albania')
1236 (0.0, 'Alan_Turing')
1237 (0.0, 'Akkadian_Empire')
1238 (0.0, 'Akbar')
1239 (0.0, 'Aircraft_carrier')
1240 (0.0, 'Age_of_Enlightenment')
1241 (0.0, 'African_slave_trade')
1242 (0.0, 'African_Great_Lakes')
1243 (0.0, 'Africa')
1244 (0.0, 'Afghanistan')
1245 (0.0, 'Aesthetics')
1246 (0.0, 'Adolf_Hitler')
1247 (0.0, 'Adelaide')
1248 (0.0, 'Adam_Smith')
1249 (0.0, 'Abstract_art')
1250 (0.0, 'Abraham_Lincoln')
1251 (0.0, 'Abkhazia')
1252 (0.0, 'Abbasid')
1253 (0.0, 'Abacus')
1254 (0.0, 'AT%26T')
1255 (0.0, 'AK-47')
1256 (0.0, 'AIDS')
1257 (0.0, '8th_century')
1258 (0.0, '7th_century')
1259 (0.0, '5th_century')
1260 (0.0, '4th_century')
1261 (0.0, '21st_century')
1262 (0.0, '20th_century')
1263 (0.0, '2005_Atlantic_hurricane_season')
1264 (0.0, '2004_Indian_Ocean_earthquake')
1265 (0.0, '1st_century_BC')
1266 (0.0, '1st_century')
1267 (0.0, '1_Ceres')
1268 (0.0, '19th_century')
1269 (0.0, '1973_oil_crisis')
1270 (0.0, '18th_century')
1271 (0.0, '17th_century')
1272 (0.0, '16th_century')
1273 (0.0, '15th_century')
1274 (0.0, '14th_century')
1275 (0.0, '13th_century')
1276 (0.0, '12th_century')
1277 (0.0, '11th_century')
1278 (0.0, '10th_century')
